Accession ID,Subpopulation,fruitWeight (g),fruitLength (mm),fruitWidth (mm),fruitThickness (mm),stoneWeight (g),stoneLength (mm),stoneWidth (mm),stoneThickness (mm),seedWeight (g),seedLength (mm),seedWidth (mm),seedThickness (mm),brix,Pulp
ono,SP1 ,261.98625,101.834166666666,75.1279166666666,64.2433333333333,29.34875,78.2616666666666,39.3030434782608,20.5026086956521,16.3465217391304,58.0795652173913,29.0386956521739,16.925652173913,8.926657864474636,17.8458333333333
allen-king-everbearing,SP2 ,358.257083333333,101.98875,81.3295833333333,75.5125,43.9125,84.1691666666666,41.9329166666666,22.4091666666666,22.1847826086956,58.2152173913043,32.2821739130434,16.691304347826,8.158430591137671,16.2041666666666
joz,SP2,587.978888888889,124.104722222222,96.7466666666666,84.8233333333333,35.9675,105.356944444444,50.3552777777777,17.8902777777777,17.8345714285714,58.2934285714285,35.1962857142857,13.9017142857142,16.347505077886673,14.0722222222222
bd3-80,SP2 ,809.745833333333,137.831666666666,111.250416666666,97.0433333333333,36.5295833333333,104.046666666666,47.8633333333333,18.4916666666666,19.2529166666666,58.3320833333333,32.2970833333333,14.9866666666666,22.166851068198163,14.2416666666666
earlygold,SP1 ,349.510555555555,109.6925,80.8886111111111,69.7086111111111,30.9472222222222,88.4674999999999,40.0966666666666,19.3516666666666,20.4041666666666,58.3333333333333,32.2922222222222,15.9211111111111,11.293761780809612,14.9194444444444
parisselectionno.1,SP2 ,346.760769230769,90.5876923076923,85.9834615384615,75.6430769230769,37.066923076923,71.1565384615384,40.7915384615384,22.2792307692307,22.6623076923076,58.3565384615384,31.7638461538461,18.5307692307692,9.354992010293246,16.2192307692307
valenciapride,SP2,516.108333333333,144.153333333333,83.1008333333333,76.3533333333333,38.975,124.7525,42.5766666666666,18.64,24.75,58.43,32.8208333333333,15.7275,13.24203549283728,13.9833333333333
provost,SP2 ,624.674545454545,145.361818181818,92.7215909090909,75.9975,30.8254545454545,113.062272727272,38.8127272727272,18.5638636363636,17.8031818181818,58.4311363636363,28.3156818181818,15.3145454545454,20.26489324053322,12.0022727272727
bd-34-89,SP2,403.840588235294,108.305882352941,88.8691176470588,78.3911764705882,25.4738235294117,84.0181818181818,46.095294117647,15.4767647058823,18.9286363636363,58.7081818181818,36.4877272727272,13.595909090909,15.853159529390066,11.9676470588235
pickering,SP2,285.286666666666,101.416666666666,74.9166666666666,70.6666666666666,22.905,,38.03,15.8158333333333,16.41,58.72,28.6116666666666,13.4683333333333,12.455213563268543,17.45
jehangir,SP1,388.65,93.6641666666666,86.3675,79.9659166666666,37.6941666666666,71.1458333333333,41.7366666666666,22.8275,25.1583333333333,58.9416666666666,31.0758333333333,19.2641666666666,10.310613932306078,14.1416666666666
mapuleha,SP1 ,466.732083333333,107.82875,92.8175,82.9529166666666,30.8729166666666,82.3366666666666,39.5608333333333,18.4191666666666,18.7241666666666,59.2195833333333,31.5679166666666,15.4869565217391,15.117848707740084,14.3291666666666
vandyke,SP2,361.908333333333,103.418333333333,81.2883333333333,75.8074999999999,29.5999999999999,81.0958333333333,40.9516666666666,18.0374999999999,20.4333333333333,59.5108333333333,31.4749999999999,14.6725,12.226632882882914,14.5416666666666
florigon,SP1 ,291.515833333333,92.8,77.3829166666666,71.85375,29.1941666666666,67.5858333333333,35.18125,21.2516666666666,21.43625,59.5316666666666,28.6920833333333,18.7241666666666,9.98541375274742,14.5958333333333
glenn,SP1 ,378.6046875,106.01375,78.220625,76.73625,30.428125,67.97,36.5565625,20.1028125,19.299375,59.5853125,30.7384375,16.87,12.442590120160212,14.96
eldon,SP2 ,381.24625,103.52375,85.4891666666666,75.8904166666666,32.1783333333333,72.4541666666666,39.94625,20.5545833333333,20.6204166666666,59.9408333333333,29.4225,17.37,11.84791785362823,14.4458333333333
o.p.tommyatkins,SP2,453.32791666666645,108.3106249999995,89.82479166666666,86.0979166666666,31.25374999999995,41.00416666666665,41.4172916666666,17.1964583333333,20.35757246376805,59.94778985507239,35.489855072463705,14.761902173913,14.50475276300179,13.955681818181802
ewais,SP1,260.72625,102.444583333333,73.07625,61.8558333333333,27.3616666666666,82.9345833333333,38.9187499999999,16.9054166666666,17.3095833333333,60.0462499999999,33.2791666666666,14.2141666666666,9.528887738320057,20.775
jewel,SP2 ,446.623125,107.066875,87.630625,81.12375,31.099375,88.5899999999999,45.18625,18.41625,18.998125,60.44625,33.89375,14.25375,14.361160795032056,15.21875
fairchild,SP1,253.65,97.5,73.4583333333333,65.75,34.7083333333333,76.8374999999999,35.96,21.6566666666666,20.625,60.8516666666666,29.7541666666666,16.2275,7.308043217286922,19.7249999999999
bd19-21,SP2 ,462.161388888888,107.666111111111,89.5630555555555,79.6911428571428,45.6283333333333,83.2141666666666,45.0524999999999,21.3525,26.4183333333333,60.8705555555555,33.9030555555555,16.3916666666666,10.128824682519378,15.4388888888888
